fips,solar_system_count_residential,population,household_count,housing_unit_count,land_area,average_household_size,daily_solar_radiation,average_household_income,housing_unit_median_value,race_white_rate,race_black_africa_rate,age_median,voting_2016_dem_percentage,employ_rate,geoid,county_name,locale,age_18_under,age_25_to_44,age_45_to_64,age_65_plus,ed_bachelor_rate,housing_density,pop_density,race_oth_rate,total_mf_own_hh,total_mf_own_suit,total_mf_rent_hh,total_mf_rent_suit,total_sf_own_hh,total_sf_own_suit,total_sf_rent_hh,total_sf_rent_suit,suit_mf_own_rate,suit_mf_rent_rate,suit_rate,suit_sf_own_rate,suit_sf_rent_rate,total_hh,high_sf_own_rate,low_sf_own_rate,mid_sf_own_rate,mod_sf_own_rate,rent_pct,sf_pct,sf_rent_pct,solar_per_capita,very_low_sf_own_rate,urban,city,rural,suburban
13095010401,1.0,7406,2594,2684,7.221941,2.85,4.53,94590.0539707,180900.0,0.561841749932,0.4145287604640001,35.2,0.68456890199,0.957204767064,13095010401.0,Dougherty County,city_small,0.154739400486,0.271941668917,0.251282743721,0.12084796111261,0.5184486373172,359.1832168111038,1025.486084696621,0.02362948960301,9.0,11.1522,510.0,104.11260000000001,1616.0,1285.9138,342.0,251.82150000000001,1.2391333333333334,0.2041423529411765,0.6673395639886961,0.7957387376237623,0.7363201754385965,2477.0,0.7967859455481973,0.812325,0.7852493333333334,0.8016381578947369,0.34396447315300765,0.7904723455793299,0.17466802860061287,0.00013502565487442613,0.777008695652174,city,1,0,0
13095010402,0.0,3026,1209,1355,9.508202,2.5,4.53,58344.99586440001,111600.0,0.202908129544,0.7838730998019999,33.7,0.68456890199,0.907107670654,13095010402.0,Dougherty County,rural_fringe,0.2567746199603,0.2194315928622,0.265697290152,0.11698612029083,0.28430296377634,127.15337768381445,318.2515474534512,0.01321877065433,5.0,4.96,350.0,75.7585,601.0,546.4812000000001,194.0,156.8002,0.992,0.21645285714285714,0.6817390434782609,0.9092865224625625,0.8082484536082474,1150.0,0.9137540404040405,0.9278166666666667,0.9051817073170733,0.903396052631579,0.47304347826086957,0.691304347826087,0.2440251572327044,0.0,0.8825536585365854,rural,0,1,0
13095010403,0.0,1581,616,691,134.0253,2.57,4.53,109943.993506,261200.0,0.5844402277040001,0.38836179633100004,45.0,0.68456890199,0.942857142857,13095010403.0,Dougherty County,rural_distant,0.1853257432005,0.2024035420622,0.370018975332,0.13029728020273001,0.37533753375319995,4.596147145352408,11.796280254548956,0.027197975964589997,3.0,2.8840000000000003,134.0,28.8803,363.0,332.5674,91.0,75.6685,0.9613333333333335,0.21552462686567164,0.7445011844331642,0.9161636363636364,0.8315219780219779,591.0,0.9169424354243543,0.9342,0.9341775,0.877560606060606,0.38071065989847713,0.7681895093062606,0.20044052863436124,0.0,0.9341764705882352,rural,0,1,0
13095010500,0.0,2333,854,947,9.637339,2.73,4.53,49339.22716630001,77300.0,0.198028289756,0.7321045863689999,45.0,0.68456890199,0.7787144362489999,13095010500.0,Dougherty County,rural_fringe,0.18474067723959997,0.21474496356599998,0.29618516931000005,0.2053150450067,0.14901256732496,88.61367230103662,242.07927105189512,0.06986712387484999,5.0,5.1763,247.0,51.2496,393.0,350.1998,176.0,148.3741,1.03526,0.20748825910931173,0.6760046285018271,0.8910936386768448,0.8430346590909091,821.0,0.8828862595419847,0.92158,0.8796886363636364,0.9215769230769231,0.5152253349573691,0.6930572472594397,0.3093145869947276,0.0,0.921578431372549,rural,0,1,0
13095010601,0.0,2451,884,1085,1.1395870000000001,2.77,4.53,24873.5294118,62800.0,0.06976744186049999,0.9082007343940001,35.5,0.68456890199,0.745569620253,13095010601.0,Dougherty County,city_small,0.1917584659323,0.237454100367,0.23174214606299998,0.1578947368421,0.06115810019524,775.7196247412439,2150.7791857927473,0.022031823745399998,1.0,1.359,330.0,69.0245,291.0,238.3396,214.0,160.2771,1.359,0.20916515151515153,0.5610050239234449,0.8190364261168385,0.7489584112149532,836.0,0.8304516853932584,0.83045,0.8158824561403508,0.7985115384615384,0.6507177033492823,0.604066985645933,0.42376237623762375,0.0,0.819939240506329,city,1,0,0
13095010602,0.0,3996,1428,1581,32.256840000000004,2.8,4.53,43356.022409,104700.0,0.124124124124,0.870620620621,35.2,0.68456890199,0.772020725389,13095010602.0,Dougherty County,rural_fringe,0.17942942942950002,0.230480480481,0.26576576576600003,0.13238238238230002,0.12101910828019997,44.26968047707091,123.88070251146732,0.005255255255260001,3.0,3.7946999999999997,471.0,106.2923,593.0,541.9703,313.0,264.94249999999994,1.2649,0.22567367303609343,0.6644926086956521,0.9139465430016862,0.8464616613418529,1380.0,0.9110306666666665,0.9296272727272726,0.9218109243697479,0.9180025,0.5681159420289855,0.6565217391304348,0.3454746136865342,0.0,0.907222891566265,rural,0,1,0
13095010700,9.0,6372,1862,2068,5.094501999999999,2.86,4.53,23251.87969920001,59400.0,0.13747645950999998,0.8432203389830001,22.8,0.68456890199,0.6820260288429999,13095010700.0,Dougherty County,city_small,0.1762397991211,0.264124293785,0.1341807909605,0.06403013182672,0.059063136456200004,365.4920539829016,1250.7601331788662,0.01930320150655,7.0,5.1953,724.0,147.46499999999997,583.0,480.9786,453.0,345.3612,0.7421857142857142,0.2036809392265193,0.5540464629315224,0.8250061749571183,0.7623867549668875,1767.0,0.8272125748502993,0.7536789473684211,0.8329844444444444,0.8423445454545454,0.6661007357102433,0.5863044708545557,0.4372586872586873,0.0014124293785310734,0.8166888324873096,city,1,0,0
13095010900,0.0,1681,703,792,6.644589999999999,2.38,4.53,63582.50355619999,104900.0,0.23854848304600001,0.739440809042,44.4,0.68456890199,0.8235294117649999,13095010900.0,Dougherty County,rural_fringe,0.17132659131470002,0.2117787031524,0.35336109458700005,0.1332540154669,0.27172061328808,105.80035788513665,252.9877689970337,0.022010707912,1.0,2.3168,181.0,41.706599999999995,358.0,319.62940000000003,124.0,98.3476,2.3168,0.23042320441988948,0.6957837349397591,0.8928195530726258,0.7931258064516129,664.0,0.8906113553113553,0.91065,0.8838411764705882,0.9106249999999999,0.45933734939759036,0.7259036144578314,0.2572614107883817,0.0,0.9106241379310345,rural,0,1,0
13095011000,2.0,2519,1049,1201,21.83614,2.4,4.53,52336.129647300004,91400.0,0.5672886065899999,0.37872171496600004,52.4,0.68456890199,0.811165845649,13095011000.0,Dougherty County,rural_fringe,0.09170305676860001,0.16315998412069999,0.367606192934,0.23541087733269997,0.13989637305701,48.03962605112442,115.35921641828638,0.05398967844386999,10.0,4.911,282.0,60.7939,504.0,462.4384,208.0,175.8567,0.4911,0.21558120567375888,0.701195219123506,0.917536507936508,0.8454649038461538,1004.0,0.9218441358024692,0.9304666666666667,0.9186810126582279,0.9046138888888888,0.48804780876494025,0.7091633466135459,0.29213483146067415,0.0007939658594680428,0.894673076923077,rural,0,1,0
13095011200,2.0,4048,1328,1444,27.592809999999997,2.53,4.53,45375.0753012,73300.0,0.326086956522,0.642292490119,33.9,0.68456890199,0.7810945273630001,13095011200.0,Dougherty County,rural_fringe,0.1403162055336,0.23171936758849998,0.288043478261,0.10696640316202001,0.1001182499015,48.12847984674269,146.70488435211928,0.031620553359645,10.0,6.4087,381.0,86.65650000000001,554.0,502.539,311.0,262.3959,0.6408699999999999,0.2274448818897638,0.6831210987261146,0.9071101083032491,0.8437167202572347,1256.0,0.9183353503184714,0.8609642857142857,0.8932719512195122,0.8967934426229508,0.5509554140127388,0.6886942675159236,0.35953757225433525,0.0004940711462450593,0.8936807228915663,rural,0,1,0
